Parameter Source Pipeline,Detection Pipeline(s),TIC ID,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Vmag,Tmag,Gmag,rmag,imag,Zmag,Jmag,Hmag,Kmag,Teff,ra,dec,logg,rho,dist,eclong,eclat,Stellar Insolation [ergs/cm^2/s],Stellar Insolation [Earth Units],Observed Sectors [String],N Sectors_Observed
spoc-s01s02,SPOC,316937670,221.01,EB,356.4904,-56.3447,356.492463608,-56.3440469734,11.78,0.04,1325.342966,0.001421,0.62425,3.3e-05,0.774288,0.553938,954.060325,141.39258,"[2, 1]","TFOP FP; event is on  event is on the dT= 0.24 fainter neighbor ~8"" W TIC 316937669; M dwarf; low MES USP.",4.75169,0.35062,1,0.525,0.079,1.671618,2.989466,1106.21127282771,3765.0,73.0,353.894098980242,7.4479375,False,5,5,5,5,5,5,5,2018-11-14 15:06:55+00,2022-10-03 15:15:12+00,13.82,12.1535,13.3363,,,,10.709,10.063,9.844,3460.0,356.49036861439,-56.3446719329332,4.83143,6.26566,50.1632,326.781491805101,-48.6081261009706,253076316.95760185,185.27899214360502,"Sector 1, Sector 2",2.0
spoc-s42-b02,SPOC,39926974,4526.01,KP,335.6244216,-7.9555149,335.623314512,-7.95635252398,13.345,0.008,2448.65422537103,0.0027132186,2.26026548696204,0.0004324147,1.01034931784601,0.44925383,6129.67882695305,861.4576,[42],K2-28 b,4.88,0.0,1,0.34102401137352,0.0103601,2.72623736429689,1.4096905,547.936777699069,3236.0,157.0,21.3031000651891,7.13926,False,5,5,5,5,5,5,5,2021-10-21 22:56:08+00,2021-10-21 16:34:29+00,16.526,13.3455,14.6799,15.4489,13.9086,13.1031,11.695,11.028,10.746,3236.0,335.62442159755,-7.95551487236881,4.88282,8.16519,62.9969,334.510713212311,2.04047933292824,29190850.911532853,21.370831936080073,,1.0
spoc-s01-s36-b0A-CPKP,UNKNOWN,231702397,122.01,CP,332.947,-58.9451,332.948235507,-58.9460850226,13.048,0.04,1329.12024838283,0.0009877153,5.07802548638435,1.3443171e-05,1.24141580272646,0.2258655,6130.39472316019,466.36487,"[1, 27, 28]",TOI-122 b,4.9581,0.407256,1,0.334125012159348,0.0100409,2.70904209639004,0.5059658,431.253643983621,3318.0,64.0,8.17432899325454,11.881052,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00,2021-12-01 15:01:58+00,15.526,13.084,14.3357,,,,11.531,11.02,10.771,3356.0,332.947082555841,-58.9450697244304,4.88974,8.46769,62.118,309.565382662264,-43.8407227095147,11200931.766012648,8.200282719555265,Sector 1,1.0
spoc-s01-s39-b0A-PC,UNKNOWN,73649615,756.01,PC,192.1051,-45.4706,192.103738012,-45.4704709382,12.396,0.04,2308.0043499705,0.00259373,1.23925278804549,6.727919e-06,1.14927064500414,0.17487271,2777.3856259454,195.78069,"[10, 11, 37]",,4.81257,0.359456,1,0.50762802362442,0.0151246,2.86671207184412,0.3954305,827.952726284317,3614.0,64.0,111.056290695781,15.762,False,2,4,2,2,4,4,4,2019-06-05 19:57:31+00,2022-03-21 18:56:44+00,14.607,12.5554,13.6961,,,,11.138,10.517,10.274,3533.0,192.105066451898,-45.4705966892821,4.73074,3.86476,86.1759,211.397267545893,-36.5530566748838,152177109.26415145,111.40995637498871,"Sector 10, Sector 11",2.0
spoc-s01-s46-b0A,SPOC,212957629,2406.01,CP,8.80508074932719,-3.37063545645493,8.80605442148,-3.37208329904,14.3109,0.007448,2475.9460474142,0.0024959205,3.07668275317247,1.2859529e-05,1.26039927814954,0.1418781,18996.4079681994,1150.9419,"[30, 42, 43]",TOI-2406 b now confirmed (Wells et al. 2021),5.0701,0.0262291,1,0.196600005030632,0.00604985,2.77859546772128,0.24439844,410.298428328761,3163.0,157.0,6.69761863876306,14.266813,False,5,5,5,5,5,5,5,2020-11-24 20:55:50+00,2022-07-15 15:52:05+00,,14.3109,15.6955,,,,12.633,12.129,11.894,3163.0,8.80508074932719,-3.37063545645493,5.0701,21.7997,55.419,6.75294718648718,-6.58787991104599,9177443.27910705,6.718872242371551,Sector 3,1.0
spoc-s14-s55-b0H,SPOC,120045750,5981.01,PC,283.968142716506,39.0617068126511,283.967767362,39.0622382178,11.8086,0.00735168,2423.51717175157,0.0026389682,7.01424581466326,8.121329e-05,2.65553277869672,0.452201,1867.31799224331,142.05846,"[41, 53, 54]",centroid offset only in s54; s53 and s41 on target,4.703,0.00918689,1,0.539524972438812,0.0158695,2.39547869209892,0.75464094,499.592075915102,3721.0,157.0,14.7225543821134,12.583472,False,2,4,1,1,4,4,4,2022-12-01 22:59:55+00,2022-12-01 15:51:28+00,14.42,11.8086,12.8373,13.1493,12.3636,12.426,10.496,9.872,9.653,3721.0,283.968142716506,39.0617068126511,4.703,3.41127,70.6891,293.041115910993,61.3883691777929,20173880.904688206,14.769443330692798,Sector 14,1.0
spoc-s01-s36-b02-L1,SPOC,354944123,4342.01,PC,324.386930624803,-77.978753103862,324.389419575,-77.979146752,11.0318,0.00736425,1654.53242627755,0.0015552475,5.53832899923516,3.8025082e-05,2.22638882354132,0.41871506,1407.11186478991,130.05675,"[13, 27]",potential L1 planet; near 2:1 resonance,4.65275,0.0107329,1,0.59817498922348,0.0177148,2.27214086268217,1.1171762,585.01697007936,3883.0,157.0,27.6818339104765,8.499877,False,2,4,1,1,4,4,4,2021-07-28 19:58:06+00,2021-07-28 15:42:52+00,12.669,11.0318,11.9822,,,,9.832,9.179,9.018,3883.0,324.386930624803,-77.978753103862,4.65275,2.74066,61.5204,288.696846156968,-58.1160617981914,37931266.24268376,27.76975287400196,Sector 13,1.0
qlp-s69-ffi,SPOC,262530407,177.01,CP,20.4391,-46.7144,20.438428052,-46.7147233938,9.438,0.016,3204.9632806,0.0008831,2.8531016,1.7e-06,1.142,0.173,1395.0,120.577,"[2, 3, 29, 69]",GJ 3090 b,4.76229,0.061557,1,0.52,0.02,2.02068,0.114301,610.0,3703.0,66.0,23.0419,28.0,False,5,5,5,5,5,5,5,2018-12-20 17:24:11+00,2023-10-27 19:29:35+00,11.403,9.49275,10.5521,,,,8.168,7.536,7.294,3639.0,20.439126387292,-46.7143796925629,4.72187,3.71241,22.4751,353.792042946953,-49.7397699781369,57872260.205260776,42.368697999108036,"Sector 2, Sector 3",2.0
qlp-s34-tois,QLP,149788158,727.01,PC,130.7368334,-2.4980677,130.736930668,-2.4985850341,11.0,0.007,2245.5184598,0.0032401,4.7244442,4.31e-05,0.999,0.373,1480.0,25.7038,"[8, 34]",SG1 to check if signal is real and if it is on the target or neighbor 149788157; period might be double,4.74,0.01,1,0.5,0.01,1.97562,0.283431,441.0,3653.0,157.0,6.29202,10.0,False,2,4,2,2,4,4,4,2019-05-24 18:24:57+00,2021-06-11 19:23:33+00,12.68,11.0002,12.0657,14.4583,13.0816,11.0801,9.662,9.078,8.827,3653.0,130.736833368722,-2.49806772159504,4.73985,4.02951,42.972,133.912702491276,-19.9441616998394,28403099.710215405,20.79411361492455,Sector 8,1.0
spoc-s01-s65-b02,SPOC,269849065,6708.01,PC,69.1423349510763,-81.2936393248563,69.1445642746,-81.2929434029,12.8676,0.00741293,1326.14361495557,0.0016489109,4.22907888070396,1.625887e-05,1.36133034615587,0.49661434,2875.46871398266,373.55588,"[1, 8, 12, 65]",low SNR; flaring M dwarf host,4.90343,0.00309515,1,0.320782005786896,0.00968521,1.73039501820994,1.1783267,440.466119848921,3264.0,157.0,8.89551376652748,8.59567,False,2,4,2,2,4,4,4,2023-10-05 21:59:27+00,2023-10-05 17:17:48+00,15.73,12.8676,14.1821,,,,11.222,10.594,10.391,3264.0,69.1423349510763,-81.2936393248563,4.90343,9.10236,49.5741,281.563209424359,-74.4028600819999,12189143.07598767,8.9237593282644,"Sector 1, Sector 8, Sector 12",3.0
spoc-s01-s36-b0A-CPKP,SPOC,410153553,136.01,PC,340.4921,-69.169,340.496203768,-69.1721081099,11.877,0.064,1325.72466059913,0.00015644342,0.462930687284513,3.872269e-06,0.631015387260145,0.02220172,4677.67360234729,171.68126,"[1, 27, 28]",LHS 3844 b,5.09707,0.426694,1,0.188623994588852,0.00571031,1.51719725189759,0.061799914,723.37204669151,3043.0,63.0,64.7094771663566,38.885654,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00,2020-10-27 13:01:47+00,15.24,11.9238,13.3925,,,,10.046,9.477,9.145,3004.0,340.49215556875,-69.1689780353653,5.08528,23.5297,14.8846,304.887051401227,-54.1225694496447,88668743.18660833,64.91502472357858,Sector 1,1.0
qlp-s08-b03b,QLP,119081096,716.01,PC,136.2385,-18.5025,136.238912381,-18.5026744454,12.382,0.04,1518.10991,0.00404,0.83707,0.00029,2.497,0.567,2745.5,16.2657,[8],potentially planet on a neighboring star; centroid shift in y; long transit duration; depth increase with larger aperture,4.72,0.33,1,0.52,0.04,2.98849,0.323354,1998.0,3776.0,152.8,2645.93,17.0,False,2,4,2,2,4,4,4,2019-05-24 15:54:20+00,2019-05-24 15:54:20+00,14.128,12.4268,13.416,,,,11.184,10.572,10.365,3817.0,136.238482652044,-18.502504731515,4.73434,3.92898,88.8248,145.226169641644,-33.5087104259425,346010659.6676787,253.3168929628117,Sector 8,1.0
qlp-s46-tois,UNKNOWN,35009898,654.01,PC,164.7242,-5.5464,164.724550885,-5.54754455968,12.172,0.04,2576.0679229,0.0011757,1.5275657,4e-06,1.12,0.143,2830.0,4.79704,"[9, 36, 45, 46]",check neighbor TIC 35009899 (Tmag ~ 16.2),4.89676,0.432223,1,0.43,0.01,2.37126,0.125097,752.0,3433.0,86.0,53.3454,24.0,False,2,4,1,1,4,4,4,2019-05-07 15:39:33+00,2022-03-10 15:13:57+00,14.54,12.2255,13.4339,,,,10.744,10.139,9.918,3424.0,164.724121877903,-5.54639882104217,4.80125,5.39244,57.7553,168.110694832919,-11.1271328524427,81348149.5618517,59.55556547036431,Sector 9,1.0
spoc-s14-s60-b0A-CP,SPOC,28900646,1685.01,CP,68.5937301406661,43.0374137479968,68.5939529125,43.0370395459,11.1117,0.00726491,2910.93809287104,0.0017795281,0.669144914216613,9.728104e-06,0.992163136341835,0.098100126,1254.37119318744,91.66477,"[19, 59]",TOI-1685 b,4.7705,0.00663534,1,0.462408006191254,0.013731,1.92004069815713,0.14984521,964.704854969071,3457.0,157.0,204.691052152923,13.492256,False,5,5,5,5,5,5,5,2020-01-30 21:16:42+00,2023-06-13 16:02:04+00,13.378,11.1117,12.2956,,,,9.616,9.005,8.758,3457.0,68.5937301406661,43.0374137479968,4.7705,4.6495,37.6153,73.4168037608145,20.822692011547,280480540.18934274,205.3418211032423,Sector 19,1.0
qlp-s63-ffi,QLP,306996324,776.02,CP,178.5766,-37.5527,178.577997028,-37.553356837,9.652,0.04,3031.0668296,0.0025422,8.2466307,3.44e-05,2.45921744099086,0.22746527,1086.26202113663,71.85391,"[10, 37, 63]",TOI 776.02 / TOI-776 b,4.73575,0.338566,2,0.53302401304245,0.0157771,1.8754314587068,0.280195,474.6701688941,3806.0,66.0,11.997444716601,18.0,False,5,5,5,5,5,5,5,2019-06-11 20:03:40+00,2023-09-21 13:06:32+00,11.536,9.73597,10.7409,,,,8.483,7.877,7.615,3747.0,178.576633271141,-37.5527322695786,4.70863,3.49796,27.1701,195.807046207013,-34.5434259682541,16439654.31454593,12.035589181972426,Sector 10,1.0
spoc-s01-s65-b0A-CP,SPOC/QLP,158588995,674.01,CP,164.5874,-36.8581,164.586559228,-36.8581091571,11.764,0.046,2301.7781424,0.0003876,1.97716584192518,8.690407e-07,1.11041534486808,0.020793837,13877.3059698331,134.98889,"[9, 10, 36, 63]",TOI-674 b ,4.87946,0.378912,1,0.421943992376328,0.0125279,5.2706002713204,0.17071044,644.286563678195,3467.0,64.0,40.7227688701156,127.449066,False,5,5,5,5,5,5,5,2019-05-07 15:39:33+00,2024-02-14 14:35:48+00,14.203,11.8764,13.0914,,,,10.359,9.737,9.469,3411.0,164.587437802105,-36.858092938336,4.80667,5.53792,46.0851,183.227832467027,-39.414346908707,55800892.72777016,40.85223496850056,"Sector 9, Sector 10",2.0
qlp-s62-ffi,QLP,296739893,620.01,CP,142.1733,-12.1655,142.173445853,-12.1671651592,10.097,0.046,3006.8512944,0.0008304,5.0987802,7.1e-06,0.905,0.074,2254.0,155.617,"[8, 35, 62]",TOI-620 b,4.80423,0.365746,1,0.55,0.02,3.00392,0.130467,383.0,3633.0,70.0,3.59572,16.0,False,5,5,5,5,5,5,5,2019-04-13 14:19:49+00,2023-04-12 16:52:33+00,12.262,10.2139,11.3104,,,,8.837,8.201,7.954,3586.0,142.173287857557,-12.1654866211014,4.69614,3.30922,33.0231,148.876714955773,-25.5827967725846,27168881.79418598,19.890533800279854,Sector 8,1.0
qlp-s49-tois,SPOC,441739871,1763.01,PC,259.564243371663,74.3028859140774,259.564164355,74.3027209274,12.8123,0.00736312,2657.0483371,0.0043902,3.7979081,2.3e-05,0.642,0.348,1470.0,74.2888,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 41, 47, 48, 49]",,4.76125,0.00700592,1,0.47,0.01,2.28065,0.453369,378.0,3520.0,157.0,3.40655,8.0,False,2,4,1,1,4,4,4,2020-02-27 22:12:19+00,2022-08-19 15:07:10+00,15.63,12.8123,13.9597,16.2255,15.5016,12.8598,11.391,10.736,10.538,3520.0,259.564243371663,74.3028859140774,4.76125,4.45082,88.0677,109.443688657676,81.5342938047469,30658711.34231391,22.445463116476756,"Sector 14, Sector 15, Sector 16, Sector 17, Sector 18, Sector 19, Sector 20, Sector 21, Sector 22, Sector 23, Sector 24, Sector 25",12.0
spoc-s02,SPOC,305048087,237.01,PC,353.2427,-29.4151,353.243538137,-29.4164870339,13.458,0.042,1355.24981,0.00261,5.433729,0.001053,1.172585,0.472631,6530.706532,843.5729,[2],low MES.,5.04944,0.547167,1,0.214,0.049,1.741587,0.971689,344.377881135219,3139.0,98.0,3.32400753936527,7.68747,False,2,4,1,1,4,4,4,2018-11-29 21:52:42+00,2018-11-29 21:52:42+00,16.37,13.4102,14.754,,,,11.74,11.19,10.896,3210.0,353.242791548842,-29.4150524465489,5.04424,19.1106,38.0749,341.502309849602,-24.1945193413885,4978623.918162387,3.6448863841088275,Sector 2,1.0
qlp-s69-faintsearch,FAINT,201254754,6858.01,PC,1.5127597,-58.9351765,1.51215561068,-58.9352213152,11.827,0.007,3202.5326098,0.0025843,3.3024845,7.5e-06,1.465,0.271,1241.0,112.811,"[1, 2, 28, 68, 69]",found in faint-star QLP search,4.75,0.01,1,0.49,0.01,1.73871,0.106468,631.0,3634.0,157.0,26.3567,11.0,False,2,4,2,2,4,4,4,2023-12-12 20:13:35+00,2023-12-12 14:08:09+00,13.733,11.8272,12.9025,,,,10.509,9.87,9.657,3634.0,1.51275966713818,-58.9351765467781,4.74888,4.20098,61.1486,327.530611066403,-52.3089714241625,43610138.94408579,31.927296429544818,"Sector 1, Sector 2",2.0
spoc-s06-b02,SPOC,438490744,529.01,PC,100.256,16.5896,100.255964839,16.588795428,14.277,0.059,1468.4958,0.002003,1.665878,0.000283,4.956738,0.144742,85643.986097,2600.0479,[6],,5.10725,0.532457,1,0.172,0.038,6.98229,5.428897,463.550412338525,3021.0,97.0,10.9121138539285,19.085302,False,3,4,3,3,4,4,4,2019-03-28 00:07:14+00,2019-03-28 00:07:14+00,17.42,14.1396,15.5099,,,,12.412,11.874,11.621,3181.0,100.255976035327,16.5896096817458,4.99382,14.7053,63.0507,99.8889041327859,-6.498296356294,27657757.542119246,20.248443252058788,Sector 6,1.0
qlp-s46-faintsearch,FAINT,291109653,5486.01,PC,190.5497615,3.7890185,190.549504069,3.78860121053,12.294,0.007,2691.0629649,0.0014577,2.0247088,7.2e-06,1.34,0.178,4390.0,5.13444,"[23, 46, 50]",found in faint-star QLP search,4.69,0.01,1,0.55,0.02,3.7963,0.178134,752.0,3654.0,157.0,53.3297,20.0,False,2,4,1,1,4,4,4,2022-04-20 19:54:43+00,2022-12-12 17:59:44+00,14.297,12.2937,13.3657,13.6971,12.8522,12.5225,10.983,10.342,10.09,3654.0,190.549761511072,3.78901852904773,4.69117,3.23747,89.6811,188.198356901365,7.66028949144244,101825470.10908584,74.54715914615142,Sector 23,1.0
qlp-s64-faintsearch,FAINT,144077896,6578.01,PC,188.1326469,-37.073787,188.132335677,-37.0738436137,12.044,0.007,3061.0451624,0.0027174,2.7543175,9.9e-06,1.471,0.36,1368.0,175.862,"[10, 37, 64]",found in faint-star QLP search,4.7,0.01,1,0.54,0.02,2.11364,0.160383,686.0,3573.0,157.0,36.9545,10.0,False,2,4,2,2,4,4,4,2023-07-20 23:31:16+00,2023-07-20 19:17:39+00,14.349,12.0438,13.1599,,,,10.617,9.984,9.784,3573.0,188.132646930243,-37.073786994825,4.70139,3.38706,75.4617,203.495266701233,-30.544055766438,59928581.67294459,43.87414573770281,Sector 10,1.0
qlp-tois-update,SPOC/QLP,29960109,393.01,EB,42.2492905,-14.5378418,42.2500662802,-14.5376462629,11.2,0.007,1411.66942,0.00298,2.49221,0.00061,1.605,0.221,1480.0,3.7192,[4],may be on 29960110,4.78,0.01,1,0.45,0.01,1.71311,0.10767,714.0,3450.0,157.0,43.3259,12.0,False,2,4,1,2,4,4,4,2019-01-16 19:24:30+00,2020-05-20 19:58:51+00,12.659,11.2003,12.385,,,,9.733,9.125,8.875,3450.0,42.2492904652083,-14.5378417949533,4.7842,4.96413,37.8932,34.7609912507456,-29.2874303173408,46132195.35544296,33.77371207065698,Sector 4,1.0
qlp-s43-faintsearch,FAINT,246965431,5319.01,PC,35.2133592,23.5208142,35.2135563197,23.5204407646,12.083,0.006,2884.04168142485,0.0031516561,4.0785273,1.7e-05,1.561,0.553,4530.0,40.2943,"[18, 42, 43, 58]",slightly fainter star (TIC 620306169) 3 arcsec away; found in faint-star QLP search; L1 candidate,4.77,0.18,1,0.48,0.07,3.74681,0.617629,695.0,3580.0,124.3,38.7885,24.0,False,2,4,2,2,4,4,4,2022-02-28 23:27:40+00,2023-03-22 15:22:12+00,13.947,12.0828,13.1344,,,,10.35,9.7,9.553,3580.0,35.2133592446371,23.5208142421241,4.76633,4.39454,61.171,40.6770778028191,8.96553693335889,30083002.370660953,22.023982436979743,Sector 18,1.0
qlp-s52-tois,SPOC,236387002,2119.01,CP,244.4300231,26.3041816,244.429882353,26.3042109823,10.398,0.007,2721.9694253,0.0001588,7.2008624,2.2e-06,2.142,0.057,51950.0,83.9805,"[24, 25, 51, 52]",confirmed brown dwarf,4.74,0.01,1,0.5,0.01,12.723,0.628659,515.0,3606.0,157.0,11.7385,258.0,False,5,5,5,5,5,5,5,2020-07-29 05:09:23+00,2022-08-23 17:38:52+00,12.39,10.3978,11.4732,11.8892,10.9292,10.7214,8.976,8.393,8.139,3606.0,244.430023052061,26.3041816011144,4.73889,4.01177,31.4006,235.627021749995,46.7385522240667,15420650.80156678,11.289569379940932,"Sector 24, Sector 25",2.0
spoc-s14-s55-b0A-PC,SPOC,389900760,2120.01,PC,23.5041332543311,65.514915682384,23.5073150471,65.513987735,12.8233,0.00738306,1795.82287379908,0.0009971453,5.79981888817589,1.40004795e-05,1.01437401085988,0.101210885,8567.33902229268,1317.3026,"[18, 24, 25, 52]",Short V-shaped transit. Multiple stars in pixel.,4.99978,0.0153626,1,0.24023300409317,0.00728193,2.63461242922817,0.39226365,354.602737839139,3179.0,157.0,3.73670952754909,13.711875,False,2,4,1,1,4,4,4,2020-07-29 05:13:33+00,2023-03-09 16:31:02+00,15.648,12.8233,14.1872,,,,11.1,10.452,10.205,3179.0,23.5041332543311,65.514915682384,4.99978,15.1732,32.1755,53.5011814634884,50.2841687677058,5120283.262907612,3.748596209420201,"Sector 18, Sector 24, Sector 25",3.0
qlp-s46-tois,SPOC/QLP,19028197,5094.01,KP,119.7743315,15.3914556,119.773502072,15.3912090143,10.248,0.007,3257.95533,0.0004184,3.3366513,2.2e-06,1.78,0.171,6530.0,0.149938,"[44, 45, 46, 71]",GJ 3470 b,4.74,0.01,1,0.5,0.01,4.36319,0.132075,703.0,3552.0,157.0,40.5809,134.0,False,5,5,5,5,5,5,5,2022-01-06 23:46:14+00,2024-01-04 15:31:52+00,12.332,10.2479,11.3537,11.8694,10.7632,10.575,8.794,8.206,7.989,3552.0,119.77433150777,15.3914555626097,4.73767,3.98928,29.4214,118.731048330871,-5.12745578914328,40639702.960818544,29.752618878428663,,1.0
qlp-s39-tois,SPOC,140687214,4327.01,PC,73.2067414796876,-76.3400256290973,73.2068635847,-76.3396806788,12.1285,0.00734726,2387.0177477,0.0012894,0.8303285,2e-06,0.665,0.278,680.0,589.617,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",possible L1 planet; two stars in pixel,4.68064,0.0100081,1,0.57,0.02,3.44971,1.5138,1428.0,3672.0,157.0,691.538,19.0,False,2,4,1,1,4,4,4,2021-07-27 02:26:33+00,2022-03-21 18:50:08+00,14.037,12.1285,13.1868,,,,10.809,10.115,9.888,3672.0,73.2067414796876,-76.3400256290973,4.68064,3.09156,84.4016,290.855751272355,-78.9508540745784,351475801.305446,257.3179624691978,"Sector 1, Sector 2, Sector 3, Sector 4, Sector 5, Sector 6, Sector 7, Sector 8, Sector 9, Sector 10, Sector 11, Sector 12, Sector 13",13.0
spoc-s49-b0A,SPOC/QLP,138819293,1796.01,KP,175.5462224,26.7065717,175.550536327,26.7030669015,8.403,0.007,2639.96333223392,0.00018952927,2.64388561055203,3.158837e-05,0.968928896407807,0.0148794195,6404.70514713927,64.446434,"[22, 49]",GJ 436 b,4.8,0.0,1,0.425431996583939,0.0125187,3.81211402798575,0.11891983,594.053359297008,3456.0,157.0,29.4322067883771,99.782776,False,5,5,5,5,5,5,5,2020-04-15 12:38:54+00,2022-07-13 19:12:47+00,10.67,8.40346,9.57148,10.0822,8.92183,8.6612,6.9,6.319,6.073,3456.0,175.546222446621,26.7065716919965,4.80352,5.45283,9.75321,164.773699273813,22.6277382225292,40329793.47702018,29.525731916012795,Sector 22,1.0
spoc-s33-b02,SPOC,33091590,2495.01,PC,104.8269758705,-4.82823132363991,104.827007318,-4.82827353811,12.2285,0.00772299,2208.38450492842,0.0040933965,7.79538495313736,0.0030242442,1.69415729398313,0.7247427,2783.9129229208,418.50656,[33],low SNR,4.8711,0.000391229,1,0.352909,0.0106823,1.89392643769333,1.3662949,379.971344351894,3356.0,157.0,4.92634001400425,7.411049,False,2,4,2,2,4,4,4,2021-02-19 00:37:58+00,2021-02-18 18:27:58+00,14.728,12.2285,13.4798,,,,10.661,10.103,9.827,3356.0,104.8269758705,-4.82823132363991,4.8711,7.68023,43.0789,106.693150612063,-27.412346697882,6750319.1293550925,4.941957192873716,Sector 7,1.0
spoc-s01-s69-b0A-PC,SPOC,299798795,1224.01,PC,37.1934,-80.8992,37.1978355744,-80.8991052993,11.457,0.044,1327.70505330364,0.0005623482,4.17826560315297,5.234576e-06,1.67590401611464,0.14986727,2537.67816018499,148.4311,"[1, 13, 27, 28, 39, 66, 67, 68]",variable flaring star; potential multi,4.893,0.382128,1,0.404403001070023,0.0120014,2.10238537850638,0.30378047,492.724158327634,3442.0,64.0,13.9295288437077,18.81182,False,2,4,1,1,4,4,4,2019-08-26 21:36:51+00,2024-04-24 20:50:50+00,13.95,11.556,12.7824,,,,10.018,9.405,9.134,3392.0,37.1934834298235,-80.8992217499421,4.82262,5.99427,37.3312,292.443204001574,-70.7287037269195,19087121.42639598,13.973818899054548,"Sector 1, Sector 13",2.0
spoc-s01-s36-b0A-CPKP,UNKNOWN,259377017,270.01,CP,68.4154,-51.9562,68.4160804338,-51.9573937399,10.416,0.04,2198.9614539,0.0005277,5.66056931603069,3.858381e-06,1.66317040312773,0.052896116,3856.10608521182,66.09782,"[3, 4, 5, 30, 32]",TOI-270 c / TOI 270.01,4.83982,0.382963,1,0.374357998371124,0.0114957,2.40708723087558,0.11973171,452.870922604814,3551.0,74.0,9.94074078795448,51.1377,False,5,5,5,5,5,5,5,2019-05-17 18:40:33+00,2021-10-14 20:28:36+00,12.603,10.4981,11.6306,,,,9.099,8.531,8.251,3532.0,68.4155009405299,-51.9562322933249,4.85053,6.90519,22.4793,43.1468702925207,-71.8970239437336,13621394.682571087,9.972321032314689,"Sector 3, Sector 4, Sector 5",3.0
qlp-s72-ffi,QLP,203289099,5111.01,KP,136.3614253,21.6687003,136.361492342,21.6685886271,11.754,0.007,3280.3240499,0.0042669,3.3557219,6.6e-06,1.599,0.088,1101.0,24.2749,"[44, 45, 46, 72]",K2-344 b,4.68,0.01,1,0.56,0.02,1.9149,0.0624086,688.0,3807.0,157.0,37.2966,41.0,False,5,5,5,5,5,5,5,2022-01-25 22:18:19+00,2024-02-01 18:39:29+00,13.423,11.7538,12.7423,15.6525,14.7603,12.1876,10.496,9.858,9.662,3807.0,136.361425289651,21.6687003127867,4.68448,3.14388,75.1691,132.448892459301,4.7989752914297,62379517.86675104,45.668493755944354,,1.0
